	nome	ordine	indirizzo	n_biblioteca	n_laboratori	n_aule_attivita_collettive	n_palestre_coperte	n_palestre_scoperte	n_auditorium	n_ambienti_destinati_ad_aule	n_sale_insegnati	n_cucine	n_servizi_igenici	n_ascensori	n_piani	n_aule_non_utilizzate	n_classi_funzionanti_nell_anno	n_alunni_servizio_trasporto	iscritti_tot	frequentanti_tot	n_docenti	n_bidelli	n_custode	Lat	Lon	quartiere	quartiere_geom
143	E.DI SAVOIA-CALAMANDREI Ist.Istruzione Sec.Superiore	Secondaria II Grado	VIA SAN GASPARE DEL BUFALO 1, Bari, Apulia, Italy	1.0	4.0	1.0	1.0	1.0	1.0	21.0	1.0	1.0	15.0	1.0	2.0	2.0	21	30.0	309.0	309.0	78.0	8.0	0.0	41.0685152	16.864358293324784	XIV - CARBONARA DI BARI	"14    POLYGON ((16.86207 41.08983, 16.86242 41.08982...
15    POLYGON ((16.91074 41.07319, 16.91083 41.07304...
16    POLYGON ((16.91083 41.07304, 16.91084 41.07305...
Name: geometry, dtype: geometry"
145	DE NITTIS - PASCALI Ist.Istruzione Sec.Superiore	Secondaria II Grado	Corso Vittorio Veneto 14, Bari, Apulia, Italy	1.0	16.0	0.0	0.0	1.0	1.0	23.0	1.0	0.0	36.0	1.0	5.0	0.0	36	13.0	742.0	707.0	139.0	11.0	0.0	41.12771735	16.85715404091615	IV - LIBERTA'	"5    POLYGON ((16.86161 41.11728, 16.86139 41.11725...
Name: geometry, dtype: geometry"
146	DE NITTIS - PASCALI Ist.Istruzione Sec.Superiore	Secondaria II Grado	via Timavo 25, Bari, Apulia, Italy	1.0	9.0	0.0	0.0	1.0	0.0	23.0	1.0	0.0	37.0	1.0	5.0	0.0	23	9.0	507.0	481.0	86.0	9.0	0.0	41.110106003069916	16.866003051908308	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
148	IPSIA SANTARELLA - DE LILLA	Secondaria II Grado	VIA CELSO ULPIANI 8, Bari, Apulia, Italy	1.0	6.0	1.0	1.0	0.0	0.0	25.0	1.0	0.0	12.0	0.0	1.0	0.0	25	11.0	559.0	559.0	96.0	6.0	0.0	41.11094763875459	16.879521762470667	VI - SAN PASQUALE	"19    POLYGON ((16.88629 41.08059, 16.88619 41.08055...
Name: geometry, dtype: geometry"
149	I.T. EUCLIDE-CARACCIOLO	Secondaria II Grado	VIA CALDAROLA (POLIV.), Bari, Apulia, Italy	1.0	9.0	1.0	0.0	0.0	0.0	17.0	1.0	0.0	9.0	2.0	3.0	1.0	17	304.0	304.0	304.0	52.0	4.0	0.0	41.10245	16.9104	V - JAPIGIA	"6    POLYGON ((16.89061 41.11877, 16.89063 41.11876...
Name: geometry, dtype: geometry"
151	SOCRATE - Liceo Classico	Secondaria II Grado	via San Tommaso d'Aquino n. 4 - 70124 Bari, Bari, Apulia, Italy	1.0	5.0	7.0	1.0	1.0	1.0	26.0	1.0	0.0	35.0	2.0	4.0	0.0	24	163.0	558.0	558.0	47.0	9.0	0.0	41.09782927598448	16.85847197766357	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
154	C.P.I.A.	Secondaria I Grado	LARGO URBANO II, Bari, Apulia, Italy	0.0	2.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	3.0	0.0	1.0	0.0	5	0.0	342.0	342.0	6.0	2.0	2.0	41.1305518	16.870216	I - SAN NICOLA	"0    POLYGON ((16.86608 41.14276, 16.86608 41.14278...
1    POLYGON ((16.86608 41.1428, 16.86608 41.14278,...
Name: geometry, dtype: geometry"
156	C.P.I.A.	Secondaria I Grado	CORSO DE GASPERI 307, Bari, Apulia, Italy	3.0	1.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	3.0	0.0	0.0	0.0	6	0.0	45.0	45.0	7.0	0.0	0.0	41.09194102627771	16.870131928273555	VII - CARRASSI	"20    POLYGON ((16.88372 41.08981, 16.88373 41.08942...
Name: geometry, dtype: geometry"
157	C.P.I.A.	Secondaria I Grado	VIA DANIELE PETRERA 80, Bari, Apulia, Italy	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	2.0	0.0	0.0	0.0	7	0.0	130.0	130.0	7.0	1.0	0.0	41.10982851395291	16.862947073554434	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
158	C.P.I.A.	Secondaria I Grado	VIA LOMBARDIA, Bari, Apulia, Italy	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	13	0.0	224.0	224.0	6.0	1.0	0.0	41.119949941152186	16.788121856172562	XI - SAN PAOLO	"22    POLYGON ((16.80793 41.13541, 16.81125 41.13412...
Name: geometry, dtype: geometry"
160	FERMI - Liceo Scientifico	Secondaria II Grado	Via R. Bovio 19/A, Bari, Apulia, Italy	1.0	7.0	0.0	1.0	1.0	1.0	60.0	1.0	0.0	90.0	1.0	2.0	0.0	60	278.0	1629.0	1629.0	122.0	19.0	1.0	41.12288	16.85923	IV - LIBERTA'	"5    POLYGON ((16.86161 41.11728, 16.86139 41.11725...
Name: geometry, dtype: geometry"
162	I.I.S.S. MARCO POLO	Secondaria II Grado	VIALE GIUSEPPE BARTOLO 4/6, Bari, Apulia, Italy	1.0	7.0	6.0	1.0	1.0	1.0	63.0	1.0	0.0	48.0	2.0	3.0	0.0	63	950.0	1487.0	1419.0	154.0	16.0	0.0	41.095120699999995	16.858249145930642	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
163	IST. TECNICO ECONOMICO	Secondaria II Grado	VIA CALDAROLA CENTRO STUDI POLIVALENTE BARI, Bari, Apulia, Italy	0.0	9.0	1.0	1.0	1.0	1.0	36.0	1.0	0.0	10.0	2.0	2.0	0.0	36	400.0	644.0	644.0	94.0	13.0	0.0	41.10614	16.9005	V - JAPIGIA	"6    POLYGON ((16.89061 41.11877, 16.89063 41.11876...
Name: geometry, dtype: geometry"
166	SALVEMINI - Liceo Scientifico	Secondaria II Grado	VIA PREZZOLINI, Bari, Apulia, Italy	1.0	4.0	1.0	1.0	1.0	1.0	48.0	1.0	0.0	35.0	2.0	3.0	0.0	48	0.0	1034.0	1034.0	91.0	15.0	0.0	41.100423845095015	16.907285123135466	V - JAPIGIA	"6    POLYGON ((16.89061 41.11877, 16.89063 41.11876...
Name: geometry, dtype: geometry"
168	LENOCI	Secondaria II Grado	VIA CALDAROLA CENTRO STUDI POLIVALENTE BARI, Bari, Apulia, Italy	0.0	9.0	1.0	1.0	1.0	1.0	36.0	1.0	0.0	10.0	2.0	2.0	0.0	36	400.0	644.0	644.0	93.0	13.0	0.0	41.10614	16.9005	V - JAPIGIA	"6    POLYGON ((16.89061 41.11877, 16.89063 41.11876...
Name: geometry, dtype: geometry"
170	LE ALI DI MICHELA	Asilo	piazzetta eleonore, Bari, Apulia, Italy	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	7.0	0.0	0.0	0.0	3	0.0	49.0	49.0	10.0	1.0	0.0	41.14846	16.73927	XIII - SANTO SPIRITO	"12    POLYGON ((16.73178 41.16969, 16.7318 41.16969,...
Name: geometry, dtype: geometry"
173	PAOLA LABRIOLA	Asilo	Via C. Ulpiani n. 9, Bari, Apulia, Italy	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	1.0	1.0	0.0	2	0.0	21.0	21.0	5.0	1.0	0.0	41.11169	16.8795	VI - SAN PASQUALE	"19    POLYGON ((16.88629 41.08059, 16.88619 41.08055...
Name: geometry, dtype: geometry"
174	LA TANA DEL GHIRO	Asilo	via laetitia abbaticola 2, Bari, Apulia, Italy	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	1.0	11.0	0.0	0.0	0.0	3	0.0	54.0	54.0	13.0	3.0	0.0	41.10047	16.88706	VI - SAN PASQUALE	"19    POLYGON ((16.88629 41.08059, 16.88619 41.08055...
Name: geometry, dtype: geometry"
175	LIBERTA'	Asilo	via Garruba n. 160, Bari, Apulia, Italy	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	3.0	0.0	0.0	0.0	3	0.0	20.0	20.0	5.0	1.0	0.0	41.12034362463101	16.864572921087518	II - MURAT	"2    POLYGON ((16.86225 41.13358, 16.86226 41.13357...
3    POLYGON ((16.87513 41.12708, 16.87511 41.12707...
Name: geometry, dtype: geometry"
176	COSTA	Asilo	via Nicola Costa 2 - 4, Bari, Apulia, Italy	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	1.0	5.0	0.0	0.0	0.0	4	0.0	50.0	50.0	11.0	1.0	0.0	41.13589	16.81887	X  - MARCONI - SAN GIROLAMO - FESCA	"11    POLYGON ((16.79057 41.15032, 16.79059 41.1503,...
Name: geometry, dtype: geometry"
177	STANIC	Asilo	via cassala 5, Bari, Apulia, Italy	0.0	0.0	1.0	0.0	0.0	0.0	3.0	1.0	1.0	6.0	0.0	0.0	0.0	3	0.0	42.0	42.0	9.0	2.0	0.0	41.11820559325281	16.83823309701829	IX - STANIC	"21    POLYGON ((16.80453 41.12328, 16.80474 41.12331...
Name: geometry, dtype: geometry"
178	MONTESSORI	Asilo	Via V. Veneto n. 189, Bari, Apulia, Italy	0.0	0.0	4.0	0.0	0.0	0.0	3.0	1.0	1.0	5.0	0.0	0.0	0.0	3	0.0	48.0	48.0	11.0	1.0	0.0	41.06827	16.86963	XIV - CARBONARA DI BARI	"14    POLYGON ((16.86207 41.08983, 16.86242 41.08982...
15    POLYGON ((16.91074 41.07319, 16.91083 41.07304...
16    POLYGON ((16.91083 41.07304, 16.91084 41.07305...
Name: geometry, dtype: geometry"
179	PRINCIPESSA IOLANDA (Direzione)	Infanzia	Via Carducci 23, Bari, Apulia, Italy	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	4.0	1.0	1.0	0.0	5	0.0	96.0	91.0	11.0	1.0	0.0	41.1273101	16.8640158	II - MURAT	"2    POLYGON ((16.86225 41.13358, 16.86226 41.13357...
3    POLYGON ((16.87513 41.12708, 16.87511 41.12707...
Name: geometry, dtype: geometry"
187	LORIS MALAGUZZI	Infanzia	Via Lamie, Bari, Apulia, Italy	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	1.0	1.0	2	0.0	36.0	36.0	4.0	1.0	0.0	41.071338802098694	16.869214628172397	XIV - CARBONARA DI BARI	"14    POLYGON ((16.86207 41.08983, 16.86242 41.08982...
15    POLYGON ((16.91074 41.07319, 16.91083 41.07304...
16    POLYGON ((16.91083 41.07304, 16.91084 41.07305...
Name: geometry, dtype: geometry"
189	ALBEROTANZA (Primi passi Alberotanza)	Asilo	TRAV.2^ VIA UMBRIA 5, Bari, Apulia, Italy	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	6.0	1.0	1.0	0.0	2	0.0	22.0	22.0	3.0	1.0	1.0	41.12171	16.79384	XI - SAN PAOLO	"22    POLYGON ((16.80793 41.13541, 16.81125 41.13412...
Name: geometry, dtype: geometry"
190	ALBEROTANZA (Primi passi Alberotanza)	Asilo	TRAV.2^ VIA UMBRIA 5, Bari, Apulia, Italy	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	6.0	1.0	1.0	0.0	2	1.0	20.0	20.0	2.0	1.0	1.0	41.12171	16.79384	XI - SAN PAOLO	"22    POLYGON ((16.80793 41.13541, 16.81125 41.13412...
Name: geometry, dtype: geometry"
191	GIROTONDO CLUB	Asilo	VIA EROI DI DOGALI 2/B, Bari, Apulia, Italy	0.0	0.0	1.0	0.0	1.0	0.0	4.0	1.0	0.0	2.0	0.0	1.0	0.0	3	0.0	27.0	27.0	3.0	2.0	0.0	41.1280352901741	16.846613118499064	IV - LIBERTA'	"5    POLYGON ((16.86161 41.11728, 16.86139 41.11725...
Name: geometry, dtype: geometry"
193	IL GIRASOLE	Asilo	CORSO ALCIDE DE GASPERI 294, Bari, Apulia, Italy	0.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	1.0	2.0	1.0	3.0	0.0	3	0.0	19.0	19.0	4.0	2.0	0.0	41.09194102627771	16.870131928273555	VII - CARRASSI	"20    POLYGON ((16.88372 41.08981, 16.88373 41.08942...
Name: geometry, dtype: geometry"
194	MIROPIO'	Asilo	Via Del Quadrifoglio 14, Bari, Apulia, Italy	0.0	0.0	1.0	1.0	1.0	0.0	3.0	0.0	1.0	4.0	0.0	0.0	0.0	3	0.0	15.0	15.0	2.0	1.0	0.0	41.15381	16.7699	XII - PALESE - MACCHIE	"13    POLYGON ((16.76887 41.16162, 16.76889 41.16161...
Name: geometry, dtype: geometry"
195	SANTA MARIA DI LEUCA (Istituto Figlie di Santa Maria di Leuca)	Asilo	VIA CAMILLO ROSALBA 42, Bari, Apulia, Italy	0.0	0.0	1.0	1.0	0.0	0.0	5.0	0.0	1.0	4.0	1.0	0.0	0.0	5	0.0	118.0	114.0	5.0	1.0	1.0	41.08311680138833	16.85287983857767	XIV - CARBONARA DI BARI	"14    POLYGON ((16.86207 41.08983, 16.86242 41.08982...
15    POLYGON ((16.91074 41.07319, 16.91083 41.07304...
16    POLYGON ((16.91083 41.07304, 16.91084 41.07305...
Name: geometry, dtype: geometry"
196	DI CAGNO ABBRESCIA	Asilo	Corso Alcide De Gasperi 320, Bari, Apulia, Italy	0.0	0.0	1.0	0.0	0.0	0.0	3.0	1.0	1.0	5.0	0.0	0.0	0.0	3	0.0	29.0	29.0	4.0	2.0	0.0	41.09194102627771	16.870131928273555	VII - CARRASSI	"20    POLYGON ((16.88372 41.08981, 16.88373 41.08942...
Name: geometry, dtype: geometry"
197	BABY CLUB	Asilo	Via Gaetano Devitofrancesco 2/N20, Bari, Apulia, Italy	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	4.0	0.0	0.0	0.0	2	0.0	29.0	29.0	4.0	2.0	0.0	41.11455441468003	16.866418578039173	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
199	SCUOLA DEI FIORI	Asilo	Viale Domenico Cotugno 2/4 - 70124 Bari, Bari, Apulia, Italy	0.0	1.0	1.0	1.0	0.0	1.0	4.0	1.0	1.0	3.0	1.0	1.0	0.0	4 compresa la sezione primavera	0.0	83.0	83.0	13.0	2.0	0.0	41.1073047	16.8563734	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
200	SIMPATICHE CANAGLIE	Asilo	via F. Campione 27, Bari, Apulia, Italy	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	4.0	0.0	0.0	0.0	2	0.0	25.0	25.0	4.0	0.0	0.0	41.11289	16.86545	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
201	FLY FAMILY c/o Aeroporto di Bari Palese	Infanzia	viale enzo ferrari, Bari, Apulia, Italy	0.0	0.0	1.0	1.0	1.0	0.0	3.0	1.0	1.0	9.0	1.0	2.0	0.0	3	0.0	71.0	71.0	4.0	3.0	0.0	41.13589621336141	16.77379114500223	XII - PALESE - MACCHIE	"13    POLYGON ((16.76887 41.16162, 16.76889 41.16161...
Name: geometry, dtype: geometry"
203	OPERA PIA ARCICONFRATERNITA MARIA SS. DEL CARMINE ETS APS	Asilo	Strada Carmine 11, Bari, Apulia, Italy	1.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	3.0	2.0	3.0	0.0	2	0.0	40.0	40.0	3.0	1.0	0.0	41.129285538476246	16.86913219305865	I - SAN NICOLA	"0    POLYGON ((16.86608 41.14276, 16.86608 41.14278...
1    POLYGON ((16.86608 41.1428, 16.86608 41.14278,...
Name: geometry, dtype: geometry"
204	AGRIBIOSCUOLA Villa Dei Cedri	Infanzia	Corso Alcide De Gasperi 378, Bari, Apulia, Italy	1.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	1.0	3.0	1.0	1.0	0.0	3	0.0	50.0	50.0	3.0	1.0	0.0	41.07993	16.87203	XIV - CARBONARA DI BARI	"14    POLYGON ((16.86207 41.08983, 16.86242 41.08982...
15    POLYGON ((16.91074 41.07319, 16.91083 41.07304...
16    POLYGON ((16.91083 41.07304, 16.91084 41.07305...
Name: geometry, dtype: geometry"
207	BABY CLUB - SPAZIO INFANZIA	Infanzia	Via Gaetano Devitofrancesco 2/N20, Bari, Apulia, Italy	0.0	0.0	1.0	0.0	0.0	0.0	3.0	1.0	1.0	4.0	0.0	0.0	0.0	2	0.0	33.0	33.0	2.0	1.0	0.0	41.11455441468003	16.866418578039173	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
210	DI CAGNO ABBRESCIA	Infanzia	Corso Alcide De Gasperi 320, Bari, Apulia, Italy	0.0	0.0	1.0	0.0	0.0	0.0	3.0	1.0	1.0	5.0	0.0	0.0	0.0	2	0.0	34.0	34.0	2.0	1.0	0.0	41.09194102627771	16.870131928273555	VII - CARRASSI	"20    POLYGON ((16.88372 41.08981, 16.88373 41.08942...
Name: geometry, dtype: geometry"
211	FILIPPO SMALDONE CONGR. S. SALESIANE SACRI CUORI	Infanzia	Strada San Giacomo 2, Bari, Apulia, Italy	1.0	3.0	3.0	1.0	0.0	1.0	5.0	1.0	1.0	3.0	1.0	3.0	0.0	2	0.0	30.0	30.0	2.0	2.0	0.0	41.1281530945676	16.86805792155993	I - SAN NICOLA	"0    POLYGON ((16.86608 41.14276, 16.86608 41.14278...
1    POLYGON ((16.86608 41.1428, 16.86608 41.14278,...
Name: geometry, dtype: geometry"
212	FLY FAMILY SOC. COOP. SOC. ORLANDO	Asilo	viale enzo ferrari, Bari, Apulia, Italy	0.0	0.0	1.0	1.0	1.0	0.0	3.0	1.0	1.0	9.0	1.0	2.0	0.0	4	0.0	79.0	79.0	9.0	3.0	0.0	41.13589621336141	16.77379114500223	XII - PALESE - MACCHIE	"13    POLYGON ((16.76887 41.16162, 16.76889 41.16161...
Name: geometry, dtype: geometry"
217	IL GIRASOLE SOC. COOP. SOC.	Infanzia	CORSO ALCIDE DE GASPERI 294, Bari, Apulia, Italy	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	2.0	1.0	3.0	0.0	2	0.0	35.0	35.0	2.0	2.0	0.0	41.09194102627771	16.870131928273555	VII - CARRASSI	"20    POLYGON ((16.88372 41.08981, 16.88373 41.08942...
Name: geometry, dtype: geometry"
228	PREZ.MO SANGUE	Infanzia	VIA SCIPIONE l?AFRICANO 272, Bari, Apulia, Italy	0.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	0.0	10.0	2.0	4.0	0.0	2	0.0	45.0	45.0	5.0	1.0	1.0	41.11132924908185	16.864365229749616	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
229	SCUOLA DEI FIORI	Infanzia	Viale Domenico Cotugno 2/4, Bari, Apulia, Italy	0.0	1.0	1.0	1.0	0.0	1.0	6.0	1.0	1.0	3.0	1.0	2.0	0.0	6	0.0	138.0	138.0	10.0	2.0	0.0	41.1073047	16.8563734	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
231	SNUPY	Infanzia	VIA VACCARELLA 53, Bari, Apulia, Italy	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	1.0	0.0	3	1.0	46.0	46.0	3.0	1.0	0.0	41.07454500628805	16.864298549627232	XIV - CARBONARA DI BARI	"14    POLYGON ((16.86207 41.08983, 16.86242 41.08982...
15    POLYGON ((16.91074 41.07319, 16.91083 41.07304...
16    POLYGON ((16.91083 41.07304, 16.91084 41.07305...
Name: geometry, dtype: geometry"
238	PREZ.MO SANGUE	Primaria	VIA SCIPIONE l?AFRICANO 272, Bari, Apulia, Italy	1.0	3.0	1.0	2.0	1.0	2.0	10.0	1.0	0.0	11.0	2.0	4.0	0.0	10	0.0	172.0	172.0	16.0	2.0	1.0	41.11132924908185	16.864365229749616	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
241	PREZ.MO SANGUE	Secondaria I Grado	VIA SCIPIONE l?AFRICANO 272, Bari, Apulia, Italy	1.0	3.0	1.0	2.0	1.0	2.0	3.0	1.0	0.0	8.0	2.0	4.0	0.0	3	0.0	70.0	70.0	13.0	1.0	1.0	41.11132924908185	16.864365229749616	VIII - PICONE	"10    POLYGON ((16.8569 41.11657, 16.85717 41.11656,...
Name: geometry, dtype: geometry"
244	ISTITUTUI PARITARI ALESSANDRO VOLTA - I.T.E.A.F.M.	Secondaria II Grado	Via Giustino Fortunato 8/m, Bari, Apulia, Italy	1.0	4.0	2.0	0.0	0.0	0.0	10.0	1.0	0.0	3.0	0.0	1.0	0.0	6	0.0	101.0	101.0	14.0	1.0	0.0	41.10451	16.88094	VI - SAN PASQUALE	"19    POLYGON ((16.88629 41.08059, 16.88619 41.08055...
Name: geometry, dtype: geometry"
245	CITTA DELLA DELLA FORMAZIONE  (c/o Ist. Di Cagno Abbescia)	Secondaria II Grado	Corso Alcide De Gasperi 320, Bari, Apulia, Italy	1.0	1.0	1.0	1.0	1.0	0.0	10.0	1.0	0.0	3.0	1.0	1.0	0.0	11	0.0	271.0	262.0	22.0	1.0	0.0	41.09194102627771	16.870131928273555	VII - CARRASSI	"20    POLYGON ((16.88372 41.08981, 16.88373 41.08942...
Name: geometry, dtype: geometry"
247	ELEONORA DUSE (Istituto Comprensivo)	Infanzia	VIA DEL FARO 8/A, Bari, Apulia, Italy	1.0	3.0	0.0	1.0	0.0	0.0	4.0	1.0	0.0	3.0	1.0	1.0	0.0	4	23.0	87.0	87.0	14.0	1.0	0.0	41.13757221460744	16.844367567898516	X  - MARCONI - SAN GIROLAMO - FESCA	"11    POLYGON ((16.79057 41.15032, 16.79059 41.1503,...
Name: geometry, dtype: geometry"
